top-level_category,second-level_category,date,residual
Automobiles,Automobile Interior Accessories,2022-12-01,-6225.46961849404
Automobiles,Automobile Interior Accessories,2023-01-01,-8043.29631227674
Automobiles,Automobile Interior Accessories,2023-02-01,-16515.769046807705
Automobiles,Automobile Interior Accessories,2023-03-01,48495.82192071801
Automobiles,Automobile Interior Accessories,2023-04-01,-4732.245805401952
Automobiles,Automobile Interior Accessories,2023-05-01,-4737.278681721742
Automobiles,Automobile Interior Accessories,2023-06-01,-3858.913834571955
Automobiles,Automobile Interior Accessories,2023-07-01,2379.242302575687
Automobiles,Automobile Interior Accessories,2023-08-01,9309.2065679754
Automobiles,Automobile Interior Accessories,2023-09-01,12442.682253536956
Automobiles,Automobile Interior Accessories,2023-10-01,24616.203230750107
Automobiles,Automobile Interior Accessories,2023-11-01,16779.253427129923
Automobiles,Automobile Interior Accessories,2023-12-01,52221.61371041022
Automobiles,Automobile Interior Accessories,2024-01-01,5864.109181879874
Automobiles,Automobile Interior Accessories,2024-02-01,63303.80276817041
Automobiles,Automobile Interior Accessories,2024-03-01,-78699.38342965243
Automobiles,Automobile Interior Accessories,2024-04-01,-22422.44402364947
Automobiles,Automobile Interior Accessories,2024-05-01,195494.81644370823
Automobiles,Automobile Interior Accessories,2024-06-01,196081.62921848043
Automobiles,Automobile Interior Accessories,2024-07-01,-90664.37809529297
Automobiles,Automobile Interior Accessories,2024-08-01,3128.3758043055423
Automobiles,Automobile Interior Accessories,2024-09-01,1228860.1654307935
Automobiles,Automobile Interior Accessories,2024-10-01,-307611.5725548414
Automobiles,Automobile Interior Accessories,2024-11-01,1137.0876952059334
Automobiles,Automobile Interior Accessories,2024-12-01,-174935.24233129056
Automobiles,Automobile Interior Accessories,2025-01-01,-148124.98930398625
Automobiles,Automobile Interior Accessories,2025-02-01,-168349.5043936844
Automobiles,Automobile Interior Accessories,2025-03-01,-93188.6741447852
Automobiles,Automobile Interior Accessories,2025-04-01,-9874.972487534338
Automobiles,Automobile Interior Accessories,2025-05-01,-144449.68255951867
Automobiles,Automobile Interior Accessories,2025-06-01,-27578.25059196842
Automobiles,Automobile Interior Accessories,2025-07-01,12051.723914905451
Automobiles,Automobile Interior Accessories,2025-08-01,478343.2655538335
Automobiles,Automobile Interior Accessories,2025-09-01,136793.74890286988
Automobiles,Automobile Interior Accessories,2025-10-01,398823.0237985542
Automobiles,Automobile Interior Accessories,2025-11-01,341034.39961168915
Automobiles,Automobile Spare Parts,2022-03-01,68145.0
Automobiles,Automobile Spare Parts,2022-04-01,22366.117400671676
Automobiles,Automobile Spare Parts,2022-05-01,-32308.36496413636
Automobiles,Automobile Spare Parts,2022-06-01,36317.624956402935
Automobiles,Automobile Spare Parts,2022-07-01,-41194.45918967191
Automobiles,Automobile Spare Parts,2022-08-01,71676.60205925725
Automobiles,Automobile Spare Parts,2022-09-01,-109374.39881787496
Automobiles,Automobile Spare Parts,2022-10-01,120343.78665631729
Automobiles,Automobile Spare Parts,2022-11-01,-217927.95404976985
Automobiles,Automobile Spare Parts,2022-12-01,366626.6569152472
Automobiles,Automobile Spare Parts,2023-01-01,-409541.39881393424
Automobiles,Automobile Spare Parts,2023-02-01,555637.4590258645
Automobiles,Automobile Spare Parts,2023-03-01,-692840.18595326
Automobiles,Automobile Spare Parts,2023-04-01,933219.5928030804
Automobiles,Automobile Spare Parts,2023-05-01,-1241050.7511014026
Automobiles,Automobile Spare Parts,2023-06-01,1583180.732673052
Automobiles,Automobile Spare Parts,2023-07-01,-1885085.6023157595
Automobiles,Automobile Spare Parts,2023-08-01,2113648.4812414045
Automobiles,Automobile Spare Parts,2023-09-01,-2101056.701971523
Automobiles,Automobile Spare Parts,2023-10-01,1885890.978542744
Automobiles,Automobile Spare Parts,2023-11-01,-1551858.819880606
Automobiles,Automobile Spare Parts,2023-12-01,1258518.2699842835
Automobiles,Automobile Spare Parts,2024-01-01,-895452.0320586509
Automobiles,Automobile Spare Parts,2024-02-01,702636.2709854601
Automobiles,Automobile Spare Parts,2024-03-01,-849976.9009351481
Automobiles,Automobile Spare Parts,2024-04-01,374183.6929138297
Automobiles,Automobile Spare Parts,2024-05-01,-67033.44034624781
Automobiles,Automobile Spare Parts,2024-06-01,342815.65429493133
Automobiles,Automobile Spare Parts,2024-07-01,-440145.45632262714
Automobiles,Automobile Spare Parts,2024-08-01,-70845.65503041598
Automobiles,Automobile Spare Parts,2024-09-01,667832.4416992214
Automobiles,Automobile Spare Parts,2024-10-01,-231241.68457398505
Automobiles,Automobile Spare Parts,2024-11-01,212354.02081287783
Automobiles,Automobile Spare Parts,2024-12-01,-301007.48767328635
Automobiles,Automobile Spare Parts,2025-01-01,-331637.338047629
Automobiles,Automobile Spare Parts,2025-02-01,153352.86554224975
Automobiles,Automobile Spare Parts,2025-03-01,668087.9958159477
Automobiles,Automobile Spare Parts,2025-04-01,181066.85250963405
Automobiles,Automobile Spare Parts,2025-05-01,-377563.3331376682
Automobiles,Automobile Spare Parts,2025-06-01,127162.69096672186
Automobiles,Automobile Spare Parts,2025-07-01,-174392.10969754198
Automobiles,Automobile Spare Parts,2025-08-01,707436.730094396
Automobiles,Automobile Spare Parts,2025-09-01,359156.6964574007
Automobiles,Automobile Spare Parts,2025-10-01,-318929.729424356
Automobiles,Automobile Spare Parts,2025-11-01,1193668.4983999587
Automobiles,Automotive Care,2022-03-01,90017.0
Automobiles,Automotive Care,2022-04-01,30049.49839906294
Automobiles,Automotive Care,2022-05-01,7424.084000449919
Automobiles,Automotive Care,2022-06-01,16502.62071067597
Automobiles,Automotive Care,2022-07-01,36832.11112763353
Automobiles,Automotive Care,2022-08-01,241.93760002049385
Automobiles,Automotive Care,2022-09-01,-35004.39090822553
Automobiles,Automotive Care,2022-10-01,-59641.15834750986
Automobiles,Automotive Care,2022-11-01,-42551.47636752049
Automobiles,Automotive Care,2022-12-01,71473.01375697614
