second-level_category,date,residual
Audio & Video Cables & Converters,2024-01-01,1978.0132386926634
Audio & Video Cables & Converters,2024-02-01,2588.8060229853327
Audio & Video Cables & Converters,2024-03-01,-20794.46097039575
Audio & Video Cables & Converters,2024-04-01,-24843.13075324829
Audio & Video Cables & Converters,2024-05-01,98342.64547170824
Audio & Video Cables & Converters,2024-06-01,33218.50787821133
Audio & Video Cables & Converters,2024-07-01,-54818.58625832481
Audio & Video Cables & Converters,2024-08-01,-55961.295650638975
Audio & Video Cables & Converters,2024-09-01,409978.53437468753
Audio & Video Cables & Converters,2024-10-01,23723.16368760157
Audio & Video Cables & Converters,2024-11-01,-3673.455987813184
Audio & Video Cables & Converters,2024-12-01,42664.980619929345
Audio & Video Cables & Converters,2025-01-01,-28520.120026419143
Audio & Video Cables & Converters,2025-02-01,-40969.53799645977
Audio & Video Cables & Converters,2025-03-01,-68953.50453537225
Audio & Video Cables & Converters,2025-04-01,29998.623817865708
Audio & Video Cables & Converters,2025-05-01,-26711.05818360098
Audio & Video Cables & Converters,2025-06-01,-18504.986364970173
Audio & Video Cables & Converters,2025-07-01,22369.484570566885
Audio & Video Cables & Converters,2025-08-01,45211.426018736616
Audio & Video Cables & Converters,2025-09-01,16038.666318950709
Audio & Video Cables & Converters,2025-10-01,73419.6827038764
Audio & Video Cables & Converters,2025-11-01,1956.0851776010677
Automobile Exterior Accessories,2022-03-01,68102.0
Automobile Exterior Accessories,2022-04-01,-26060.003888300867
Automobile Exterior Accessories,2022-05-01,-360.5436297714041
Automobile Exterior Accessories,2022-06-01,-6741.499557467672
Automobile Exterior Accessories,2022-07-01,-1722.4127667216308
Automobile Exterior Accessories,2022-08-01,13232.500466972997
Automobile Exterior Accessories,2022-09-01,-23632.535962153517
Automobile Exterior Accessories,2022-10-01,-29382.29970687622
Automobile Exterior Accessories,2022-11-01,-38349.76723015703
Automobile Exterior Accessories,2022-12-01,24748.501903958866
Automobile Exterior Accessories,2023-01-01,-4936.922836320366
Automobile Exterior Accessories,2023-02-01,-12929.448646992721
Automobile Exterior Accessories,2023-03-01,41156.56837233897
Automobile Exterior Accessories,2023-04-01,-79161.08324548343
Automobile Exterior Accessories,2023-05-01,-38849.69672710654
Automobile Exterior Accessories,2023-06-01,-47952.87266563511
Automobile Exterior Accessories,2023-07-01,-34536.605981032306
Automobile Exterior Accessories,2023-08-01,-16311.264760802558
Automobile Exterior Accessories,2023-09-01,-38712.77723230899
Automobile Exterior Accessories,2023-10-01,-31876.98431269267
Automobile Exterior Accessories,2023-11-01,-46238.33462475156
Automobile Exterior Accessories,2023-12-01,-1312.7286599579238
Automobile Exterior Accessories,2024-01-01,-2686.8644048580027
Automobile Exterior Accessories,2024-02-01,344.64747539190284
Automobile Exterior Accessories,2024-03-01,-38093.027342836416
Automobile Exterior Accessories,2024-04-01,-91582.11075663014
Automobile Exterior Accessories,2024-05-01,165724.0478196204
Automobile Exterior Accessories,2024-06-01,-8812.678457210306
Automobile Exterior Accessories,2024-07-01,-112888.62591925805
Automobile Exterior Accessories,2024-08-01,-44553.60291097677
Automobile Exterior Accessories,2024-09-01,85521.0961340497
Automobile Exterior Accessories,2024-10-01,-141895.35670851645
Automobile Exterior Accessories,2024-11-01,10242.713152541895
Automobile Exterior Accessories,2024-12-01,-53530.207174961484
Automobile Exterior Accessories,2025-01-01,-52997.881022321046
Automobile Exterior Accessories,2025-02-01,-45403.04274770238
Automobile Exterior Accessories,2025-03-01,-44319.238647655264
Automobile Exterior Accessories,2025-04-01,1330.9995353964914
Automobile Exterior Accessories,2025-05-01,11724.440779475495
Automobile Exterior Accessories,2025-06-01,-37888.66658820555
Automobile Exterior Accessories,2025-07-01,-110502.33445162015
Automobile Exterior Accessories,2025-08-01,231449.16858542024
Automobile Exterior Accessories,2025-09-01,116363.10695433605
Automobile Exterior Accessories,2025-10-01,133210.33698090678
Automobile Exterior Accessories,2025-11-01,-100776.78974783886
Automobile Interior Accessories,2022-03-01,83516.0
Automobile Interior Accessories,2022-04-01,-21846.285855233815
Automobile Interior Accessories,2022-05-01,8650.360153645248
Automobile Interior Accessories,2022-06-01,-5903.482622773779
Automobile Interior Accessories,2022-07-01,7520.996635208372
Automobile Interior Accessories,2022-08-01,10814.734261196325
Automobile Interior Accessories,2022-09-01,-10487.058756745944
Automobile Interior Accessories,2022-10-01,-20003.28065274151
Automobile Interior Accessories,2022-11-01,35822.44720171632
Automobile Interior Accessories,2022-12-01,-6225.46961849404
Automobile Interior Accessories,2023-01-01,-8043.29631227674
Automobile Interior Accessories,2023-02-01,-16515.769046807705
Automobile Interior Accessories,2023-03-01,48495.82192071801
Automobile Interior Accessories,2023-04-01,-4732.245805401952
Automobile Interior Accessories,2023-05-01,-4737.278681721742
