category,forecast_date,predicted_sold_per_month
Briefcases,2026-03-01,1897.53
Briefcases,2026-04-01,3083.13
Briefcases,2026-05-01,5449.6
Briefcases,2026-06-01,13348.83
Briefcases,2026-07-01,10626.4
Briefcases,2026-08-01,16826.8
Briefcases,2026-09-01,2114.15
Briefcases,2026-10-01,3495.71
Briefcases,2026-11-01,2967.33
"CD, DVD & Bluray",2025-12-01,2175.6
"CD, DVD & Bluray",2026-01-01,1495.21
"CD, DVD & Bluray",2026-02-01,1786.38
"CD, DVD & Bluray",2026-03-01,1138.36
"CD, DVD & Bluray",2026-04-01,1040.62
"CD, DVD & Bluray",2026-05-01,1449.47
"CD, DVD & Bluray",2026-06-01,1527.72
"CD, DVD & Bluray",2026-07-01,1534.71
"CD, DVD & Bluray",2026-08-01,1179.34
"CD, DVD & Bluray",2026-09-01,1193.42
"CD, DVD & Bluray",2026-10-01,1610.44
"CD, DVD & Bluray",2026-11-01,2785.78
Camera Accessories,2025-12-01,150927.04
Camera Accessories,2026-01-01,158736.66
Camera Accessories,2026-02-01,164862.82
Camera Accessories,2026-03-01,204719.34
Camera Accessories,2026-04-01,228718.48
Camera Accessories,2026-05-01,185098.02
Camera Accessories,2026-06-01,207877.09
Camera Accessories,2026-07-01,234035.74
Camera Accessories,2026-08-01,232256.17
Camera Accessories,2026-09-01,210211.02
Camera Accessories,2026-10-01,206912.97
Camera Accessories,2026-11-01,232323.49
Camera Care,2025-12-01,27645.23
Camera Care,2026-01-01,32615.98
Camera Care,2026-02-01,33958.17
Camera Care,2026-03-01,25552.38
Camera Care,2026-04-01,27552.81
Camera Care,2026-05-01,87335.85
Camera Care,2026-06-01,47099.73
Camera Care,2026-07-01,24785.6
Camera Care,2026-08-01,10786.77
Camera Care,2026-09-01,24729.42
Camera Care,2026-10-01,25657.09
Camera Care,2026-11-01,34141.44
Cameras,2025-12-01,0.0
Cameras,2026-01-01,12695.81
Cameras,2026-02-01,1013.79
Cameras,2026-03-01,1674.01
Cameras,2026-04-01,0.0
Cameras,2026-05-01,0.0
Cameras,2026-06-01,293.84
Cameras,2026-07-01,429.38
Cameras,2026-08-01,3630.92
Cameras,2026-09-01,0.0
Cameras,2026-10-01,0.0
Cameras,2026-11-01,0.0
Clutches & Wristlets,2025-12-01,56764.3
Clutches & Wristlets,2026-01-01,11459.54
Clutches & Wristlets,2026-02-01,15475.38
Clutches & Wristlets,2026-03-01,7957.15
Clutches & Wristlets,2026-04-01,11690.28
Clutches & Wristlets,2026-05-01,16703.29
Clutches & Wristlets,2026-06-01,105516.72
Clutches & Wristlets,2026-07-01,12139.28
Clutches & Wristlets,2026-08-01,18689.64
Clutches & Wristlets,2026-09-01,263111.71
Clutches & Wristlets,2026-10-01,13304.69
Clutches & Wristlets,2026-11-01,21928.37
Collectible Items,2025-12-01,115742.69
Collectible Items,2026-01-01,118385.14
Collectible Items,2026-02-01,129340.7
Collectible Items,2026-03-01,145465.82
Collectible Items,2026-04-01,207766.99
Collectible Items,2026-05-01,153896.01
Collectible Items,2026-06-01,177110.62
Collectible Items,2026-07-01,212945.61
Collectible Items,2026-08-01,218959.62
Collectible Items,2026-09-01,178256.72
Collectible Items,2026-10-01,204108.37
Collectible Items,2026-11-01,220685.45
Console Accessories,2025-12-01,162705.2
Console Accessories,2026-01-01,130340.0
Console Accessories,2026-02-01,134501.85
Console Accessories,2026-03-01,104237.9
Console Accessories,2026-04-01,140552.14
Console Accessories,2026-05-01,223001.22
Console Accessories,2026-06-01,436624.11
Console Accessories,2026-07-01,188096.23
Console Accessories,2026-08-01,76156.25
Console Accessories,2026-09-01,205171.62
Console Accessories,2026-10-01,141320.62
Console Accessories,2026-11-01,169461.65
Console Machines,2025-12-01,1867.6
Console Machines,2026-01-01,997.89
Console Machines,2026-02-01,2202.19
Console Machines,2026-03-01,288.49
Console Machines,2026-04-01,0.0
Console Machines,2026-05-01,461.75
Console Machines,2026-06-01,0.0
Console Machines,2026-07-01,0.0
Console Machines,2026-08-01,0.0
Console Machines,2026-09-01,0.0
Console Machines,2026-10-01,0.0
Console Machines,2026-11-01,0.0
Convenience / Ready,2025-12-01,96318.65
Convenience / Ready,2026-01-01,107741.82
Convenience / Ready,2026-02-01,112215.27
Convenience / Ready,2026-03-01,135596.18
Convenience / Ready,2026-04-01,135476.8
Convenience / Ready,2026-05-01,138476.14
Convenience / Ready,2026-06-01,225772.11
Convenience / Ready,2026-07-01,125236.44
Convenience / Ready,2026-08-01,138220.02
Convenience / Ready,2026-09-01,137242.18
Convenience / Ready,2026-10-01,120141.42
Convenience / Ready,2026-11-01,113962.02
Cooking Essentials,2025-12-01,490637.37
Cooking Essentials,2026-01-01,498417.96
Cooking Essentials,2026-02-01,489938.36
Cooking Essentials,2026-03-01,629337.75
Cooking Essentials,2026-04-01,687088.43
Cooking Essentials,2026-05-01,659466.75
Cooking Essentials,2026-06-01,607552.81
Cooking Essentials,2026-07-01,684414.82
Cooking Essentials,2026-08-01,563322.48
Cooking Essentials,2026-09-01,541836.17
Cooking Essentials,2026-10-01,674612.93
Cooking Essentials,2026-11-01,671312.89
Costumes,2025-12-01,5075.75
Costumes,2026-01-01,6978.55
Costumes,2026-02-01,5399.78
Costumes,2026-03-01,7255.72
Costumes,2026-04-01,6080.8
Costumes,2026-05-01,11476.98
Costumes,2026-06-01,5994.61
Costumes,2026-07-01,4848.45
Costumes,2026-08-01,6320.27
Costumes,2026-09-01,4030.93
Costumes,2026-10-01,6291.17
Costumes,2026-11-01,5640.32
Crossbody & Shoulder Bags,2025-12-01,24464023.67
Crossbody & Shoulder Bags,2026-01-01,79129873.77
Crossbody & Shoulder Bags,2026-02-01,261473360.87
Crossbody & Shoulder Bags,2026-03-01,865926214.22
Crossbody & Shoulder Bags,2026-04-01,2870619799.92
Crossbody & Shoulder Bags,2026-05-01,9516288831.21
Crossbody & Shoulder Bags,2026-06-01,31548489766.71
Crossbody & Shoulder Bags,2026-07-01,104589040301.79
Crossbody & Shoulder Bags,2026-08-01,346739055026.3
Crossbody & Shoulder Bags,2026-09-01,1149530362212.24
Crossbody & Shoulder Bags,2026-10-01,3810990515307.73
Crossbody & Shoulder Bags,2026-11-01,12634427313926.15
Dairy & Eggs,2025-12-01,502010.2
Dairy & Eggs,2026-01-01,483413.21
Dairy & Eggs,2026-02-01,298686.78
Dairy & Eggs,2026-03-01,313256.13
Dairy & Eggs,2026-04-01,409643.74
Dairy & Eggs,2026-05-01,383278.84
Dairy & Eggs,2026-06-01,405401.34
Dairy & Eggs,2026-07-01,235339.58
Dairy & Eggs,2026-08-01,290620.56
Dairy & Eggs,2026-09-01,269137.38
Dairy & Eggs,2026-10-01,281041.87
Dairy & Eggs,2026-11-01,275613.37
Data Storage,2025-12-01,45888.58
Data Storage,2026-01-01,68939.83
Data Storage,2026-02-01,72394.43
Data Storage,2026-03-01,98763.35
Data Storage,2026-04-01,99056.07
Data Storage,2026-05-01,105255.03
Data Storage,2026-06-01,102380.81
Data Storage,2026-07-01,91512.19
Data Storage,2026-08-01,113110.16
Data Storage,2026-09-01,127551.37
Data Storage,2026-10-01,102170.79
Data Storage,2026-11-01,84267.0
Decoration,2025-12-01,0.0
Decoration,2026-01-01,0.0
Decoration,2026-02-01,0.0
Decoration,2026-03-01,0.0
Decoration,2026-04-01,0.0
Decoration,2026-05-01,0.0
Decoration,2026-06-01,0.0
Decoration,2026-07-01,0.0
Decoration,2026-08-01,0.0
Decoration,2026-09-01,0.0
Decoration,2026-10-01,0.0
Decoration,2026-11-01,0.0
Desktop & Laptop Components,2025-12-01,46945.54
Desktop & Laptop Components,2026-01-01,62177.39
Desktop & Laptop Components,2026-02-01,57716.3
Desktop & Laptop Components,2026-03-01,74781.45
Desktop & Laptop Components,2026-04-01,110667.85
Desktop & Laptop Components,2026-05-01,65523.57
Desktop & Laptop Components,2026-06-01,81010.39
Desktop & Laptop Components,2026-07-01,69027.18
Desktop & Laptop Components,2026-08-01,101501.19
Desktop & Laptop Components,2026-09-01,182854.07
